Table 1
,,,,,,
,Scientific name,English name,Family,Global IUCN Red List Category,,
,Pachyptila salvini,Salvin's Prion,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pachyptila macgillivrayi,MacGillivray's Prion,"Procellariidae (Petrels, Shearwaters)",EN,,
,Pachyptila desolata,Antarctic Prion,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pachyptila belcheri,Slender-billed Prion,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pachyptila turtur,Fairy Prion,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pachyptila crassirostris,Fulmar Prion,"Procellariidae (Petrels, Shearwaters)",LC,,
,Aphrodroma brevirostris,Kerguelen Petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pterodroma rupinarum,Large St Helena Petrel,"Procellariidae (Petrels, Shearwaters)",EX,,
,Pterodroma leucoptera,White-winged Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Pterodroma brevipes,Collared Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Pterodroma defilippiana,Masatierra Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Pterodroma longirostris,Stejneger's Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Pterodroma cookii,Cook's Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Pterodroma pycrofti,Pycroft's Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Pterodroma hypoleuca,Bonin Petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pterodroma nigripennis,Black-winged Petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pterodroma axillaris,Chatham Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Pterodroma ultima,Murphy's Petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pterodroma solandri,Providence Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Pterodroma neglecta,Kermadec Petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pterodroma arminjoniana,Trindade Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Pterodroma heraldica,Herald Petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pterodroma atrata,Henderson Petrel,"Procellariidae (Petrels, Shearwaters)",EN,,
,Pterodroma alba,Phoenix Petrel,"Procellariidae (Petrels, Shearwaters)",EN,,
,Pterodroma baraui,Barau's Petrel,"Procellariidae (Petrels, Shearwaters)",EN,,
,Pterodroma inexpectata,Mottled Petrel,"Procellariidae (Petrels, Shearwaters)",NT,,
,Pterodroma sandwichensis,Hawaiian Petrel,"Procellariidae (Petrels, Shearwaters)",EN,,
,Pterodroma phaeopygia,Galapagos Petrel,"Procellariidae (Petrels, Shearwaters)",CR,,
,Pterodroma cervicalis,White-necked Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Pterodroma externa,Juan Fernandez Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Pterodroma mollis,Soft-plumaged Petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pterodroma cahow,Bermuda Petrel,"Procellariidae (Petrels, Shearwaters)",EN,,
,Pterodroma hasitata,Black-capped Petrel,"Procellariidae (Petrels, Shearwaters)",EN,,
,Pterodroma caribbaea,Jamaican Petrel,"Procellariidae (Petrels, Shearwaters)",CR (PE),,
,Pterodroma feae,Cape Verde Petrel,"Procellariidae (Petrels, Shearwaters)",NT,,
,Pterodroma deserta,Desertas Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Pterodroma madeira,Zino's Petrel,"Procellariidae (Petrels, Shearwaters)",EN,,
,Pterodroma magentae,Magenta Petrel,"Procellariidae (Petrels, Shearwaters)",CR,,
,Pterodroma incerta,Atlantic Petrel,"Procellariidae (Petrels, Shearwaters)",EN,,
,Pterodroma lessonii,White-headed Petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pterodroma macroptera,Great-winged Petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pterodroma gouldi,Grey-faced Petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Procellaria cinerea,Grey Petrel,"Procellariidae (Petrels, Shearwaters)",NT,,
,Procellaria aequinoctialis,White-chinned Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Procellaria conspicillata,Spectacled Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Procellaria westlandica,Westland Petrel,"Procellariidae (Petrels, Shearwaters)",EN,,
,Procellaria parkinsoni,Black Petrel,"Procellariidae (Petrels, Shearwaters)",VU,,
,Ardenna pacifica,Wedge-tailed Shearwater,"Procellariidae (Petrels, Shearwaters)",LC,,
,Ardenna bulleri,Buller's Shearwater,"Procellariidae (Petrels, Shearwaters)",VU,,
,Ardenna tenuirostris,Short-tailed Shearwater,"Procellariidae (Petrels, Shearwaters)",LC,,
,Ardenna grisea,Sooty Shearwater,"Procellariidae (Petrels, Shearwaters)",NT,,
,Ardenna carneipes,Flesh-footed Shearwater,"Procellariidae (Petrels, Shearwaters)",NT,,
,Ardenna creatopus,Pink-footed Shearwater,"Procellariidae (Petrels, Shearwaters)",VU,,
,Calonectris leucomelas,Streaked Shearwater,"Procellariidae (Petrels, Shearwaters)",NT,,
,Calonectris diomedea,Scopoli's Shearwater,"Procellariidae (Petrels, Shearwaters)",LC,,
,Calonectris borealis,Cory's Shearwater,"Procellariidae (Petrels, Shearwaters)",LC,,
,Calonectris edwardsii,Cape Verde Shearwater,"Procellariidae (Petrels, Shearwaters)",NT,,
,Puffinus gavia,Fluttering Shearwater,"Procellariidae (Petrels, Shearwaters)",LC,,
,Puffinus huttoni,Hutton's Shearwater,"Procellariidae (Petrels, Shearwaters)",EN,,
,Puffinus opisthomelas,Black-vented Shearwater,"Procellariidae (Petrels, Shearwaters)",NT,,
,Puffinus bryani,Bryan's Shearwater,"Procellariidae (Petrels, Shearwaters)",CR,,
,Puffinus myrtae,Rapa Shearwater,"Procellariidae (Petrels, Shearwaters)",CR,,
,Puffinus newelli,Newell's Shearwater,"Procellariidae (Petrels, Shearwaters)",CR,,
,Puffinus auricularis,Townsend's Shearwater,"Procellariidae (Petrels, Shearwaters)",CR,,
,Puffinus bailloni,Tropical Shearwater,"Procellariidae (Petrels, Shearwaters)",LC,,
,Puffinus bannermani,Bannerman's Shearwater,"Procellariidae (Petrels, Shearwaters)",EN,,
,Puffinus puffinus,Manx Shearwater,"Procellariidae (Petrels, Shearwaters)",LC,,
,Puffinus yelkouan,Yelkouan Shearwater,"Procellariidae (Petrels, Shearwaters)",VU,,
,Puffinus mauretanicus,Balearic Shearwater,"Procellariidae (Petrels, Shearwaters)",CR,,
,Puffinus elegans,Subantarctic Shearwater,"Procellariidae (Petrels, Shearwaters)",LC,,
,Puffinus assimilis,Little Shearwater,"Procellariidae (Petrels, Shearwaters)",LC,,
,Puffinus lherminieri,Audubon's Shearwater,"Procellariidae (Petrels, Shearwaters)",LC,,
,Puffinus heinrothi,Heinroth's Shearwater,"Procellariidae (Petrels, Shearwaters)",VU,,
,Pseudobulweria macgillivrayi,Fiji Petrel,"Procellariidae (Petrels, Shearwaters)",CR,,
,Pseudobulweria aterrima,Mascarene Petrel,"Procellariidae (Petrels, Shearwaters)",CR,,
,Pseudobulweria becki,Beck's Petrel,"Procellariidae (Petrels, Shearwaters)",CR,,
,Pseudobulweria rostrata,Tahiti Petrel,"Procellariidae (Petrels, Shearwaters)",NT,,
,Bulweria bulwerii,Bulwer's Petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Bulweria fallax,Jouanin's Petrel,"Procellariidae (Petrels, Shearwaters)",NT,,
,Bulweria bifax,Small St Helena Petrel,"Procellariidae (Petrels, Shearwaters)",EX,,
,Pelecanoides garnotii,Peruvian Diving-petrel,"Procellariidae (Petrels, Shearwaters)",NT,,
,Pelecanoides magellani,Magellanic Diving-petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pelecanoides georgicus,South Georgia Diving-petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pelecanoides whenuahouensis,Whenua Hou Diving-petrel,"Procellariidae (Petrels, Shearwaters)",CR,,
,Pelecanoides urinatrix,Common Diving-petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Leptoptilos dubius,Greater Adjutant,Ciconiidae (Storks),EN,,
,Mycteria leucocephala,Painted Stork,Ciconiidae (Storks),NT,,
,Mycteria cinerea,Milky Stork,Ciconiidae (Storks),EN,,
,Threskiornis aethiopicus,African Sacred Ibis,"Threskiornithidae (Ibises, Spoonbills)",LC,,
,Threskiornis bernieri,Madagascar Sacred Ibis,"Threskiornithidae (Ibises, Spoonbills)",EN,,
,Thaumatibis gigantea,Giant Ibis,"Threskiornithidae (Ibises, Spoonbills)",CR,,
,Geronticus eremita,Northern Bald Ibis,"Threskiornithidae (Ibises, Spoonbills)",EN,,
,Geronticus calvus,Southern Bald Ibis,"Threskiornithidae (Ibises, Spoonbills)",VU,,
,Bostrychia bocagei,Dwarf Ibis,"Threskiornithidae (Ibises, Spoonbills)",CR,,
,Gorsachius goisagi,Japanese Night-heron,Ardeidae (Herons),VU,,
,Nyctanassa carcinocatactes,Bermuda Night-heron,Ardeidae (Herons),EX,,
,Ardeola idae,Madagascar Pond-heron,Ardeidae (Herons),EN,,
,Ardea cinerea,Grey Heron,Ardeidae (Herons),LC,,
,Ardea occidentalis,Great White Heron,Ardeidae (Herons),EN,,
,Ardea brachyrhyncha,Yellow-billed Egret,Ardeidae (Herons),LC,,
,Ardea plumifera,Plumed Egret,Ardeidae (Herons),LC,,
,Egretta rufescens,Reddish Egret,Ardeidae (Herons),NT,,
,Egretta vinaceigula,Slaty Egret,Ardeidae (Herons),VU,,
,Balaeniceps rex,Shoebill,Balaenicipitidae (Shoebill),VU,,
,Pelecanus crispus,Dalmatian Pelican,Pelecanidae (Pelicans),NT,,
,Pelecanus philippensis,Spot-billed Pelican,Pelecanidae (Pelicans),NT,,
,Fregata ariel,Lesser Frigatebird,Fregatidae (Frigatebirds),LC,,
,Fregata andrewsi,Christmas Frigatebird,Fregatidae (Frigatebirds),CR,,
,Fregata aquila,Ascension Frigatebird,Fregatidae (Frigatebirds),VU,,
,Papasula abbotti,Abbott's Booby,"Sulidae (Gannets, Boobies)",EN,,
,Morus capensis,Cape Gannet,"Sulidae (Gannets, Boobies)",EN,,
,Sula leucogaster,Brown Booby,"Sulidae (Gannets, Boobies)",LC,,
,Sula dactylatra,Masked Booby,"Sulidae (Gannets, Boobies)",LC,,
,Microcarbo coronatus,Crowned Cormorant,Phalacrocoracidae (Cormorants),NT,,
,Poikilocarbo gaimardi,Red-legged Cormorant,Phalacrocoracidae (Cormorants),NT,,
,Leucocarbo bougainvilliorum,Guanay Cormorant,Phalacrocoracidae (Cormorants),NT,,
,Leucocarbo atriceps,Imperial Shag,Phalacrocoracidae (Cormorants),LC,,
,Leucocarbo onslowi,Chatham Shag,Phalacrocoracidae (Cormorants),CR,,
,Leucocarbo campbelli,Campbell Shag,Phalacrocoracidae (Cormorants),VU,,
,Leucocarbo ranfurlyi,Bounty Shag,Phalacrocoracidae (Cormorants),VU,,
,Leucocarbo colensoi,Auckland Shag,Phalacrocoracidae (Cormorants),VU,,
,Nannopterum harrisi,Flightless Cormorant,Phalacrocoracidae (Cormorants),VU,,
,Urile pelagicus,Pelagic Cormorant,Phalacrocoracidae (Cormorants),LC,,
,Urile urile,Red-faced Cormorant,Phalacrocoracidae (Cormorants),LC,,
,Gulosus aristotelis,European Shag,Phalacrocoracidae (Cormorants),LC,,
,Phalacrocorax capensis,Cape Cormorant,Phalacrocoracidae (Cormorants),EN,,
,Phalacrocorax nigrogularis,Socotra Cormorant,Phalacrocoracidae (Cormorants),VU,,
,Phalacrocorax neglectus,Bank Cormorant,Phalacrocoracidae (Cormorants),EN,,
,Phalacrocorax featherstoni,Pitt Shag,Phalacrocoracidae (Cormorants),EN,,
,Burhinus grallarius,Bush Thick-knee,Burhinidae (Thick-knees),LC,,
,Esacus magnirostris,Beach Thick-knee,Burhinidae (Thick-knees),NT,,
,Pluvianellus socialis,Magellanic Plover,Pluvianellidae (Magellanic Plover),NT,,
,Haematopus meadewaldoi,Canarian Oystercatcher,Haematopodidae (Oystercatchers),EX,,
,Haematopus moquini,African Oystercatcher,Haematopodidae (Oystercatchers),LC,,
,Haematopus ostralegus,Eurasian Oystercatcher,Haematopodidae (Oystercatchers),NT,,
,Haematopus finschi,South Island Oystercatcher,Haematopodidae (Oystercatchers),LC,,
,Haematopus chathamensis,Chatham Oystercatcher,Haematopodidae (Oystercatchers),EN,,
,Himantopus novaezelandiae,Black Stilt,"Recurvirostridae (Avocets, Stilts)",CR,,
,Pluvialis squatarola,Grey Plover,Charadriidae (Plovers),LC,,
,Charadrius aquilonius,Northern Red-breasted Plover,Charadriidae (Plovers),NT,,
,Charadrius obscurus,Southern Red-breasted Plover,Charadriidae (Plovers),CR,,
,Charadrius dubius,Little Ringed Plover,Charadriidae (Plovers),LC,,
,Charadrius melodus,Piping Plover,Charadriidae (Plovers),NT,,
,Charadrius thoracicus,Black-banded Plover,Charadriidae (Plovers),VU,,
,Charadrius pecuarius,Kittlitz's Plover,Charadriidae (Plovers),LC,,
,Charadrius sanctaehelenae,St Helena Plover,Charadriidae (Plovers),VU,,
,Charadrius alexandrinus,Kentish Plover,Charadriidae (Plovers),LC,,
,Charadrius dealbatus,White-faced Plover,Charadriidae (Plovers),DD,,
,Charadrius nivosus,Snowy Plover,Charadriidae (Plovers),NT,,
,Charadrius bicinctus,Double-banded Plover,Charadriidae (Plovers),NT,,
,Charadrius leschenaultii,Greater Sandplover,Charadriidae (Plovers),LC,,
,Charadrius montanus,Mountain Plover,Charadriidae (Plovers),NT,,
,Thinornis cucullatus,Hooded Plover,Charadriidae (Plovers),VU,,
,Thinornis novaeseelandiae,Shore Plover,Charadriidae (Plovers),EN,,
,Vanellus vanellus,Northern Lapwing,Charadriidae (Plovers),NT,,
,Vanellus duvaucelii,River Lapwing,Charadriidae (Plovers),NT,,
,Vanellus albiceps,White-headed Lapwing,Charadriidae (Plovers),LC,,
,Anarhynchus frontalis,Wrybill,Charadriidae (Plovers),VU,,
,Pedionomus torquatus,Plains-wanderer,Pedionomidae (Plains-wanderer),CR,,
,Rostratula australis,Australian Painted-snipe,Rostratulidae (Painted-snipes),EN,,
,Numenius tahitiensis,Bristle-thighed Curlew,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",NT,,
,Numenius arquata,Eurasian Curlew,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",NT,,
,Limosa lapponica,Bar-tailed Godwit,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",NT,,
,Limosa limosa,Black-tailed Godwit,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",NT,,
,Arenaria interpres,Ruddy Turnstone,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",LC,,
,Calidris tenuirostris,Great Knot,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",EN,,
,Calidris canutus,Red Knot,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",NT,,
,Calidris ferruginea,Curlew Sandpiper,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",NT,,
,Calidris temminckii,Temminck's Stint,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",LC,,
,Calidris pygmaea,Spoon-billed Sandpiper,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",CR,,
,Calidris alpina,Dunlin,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",LC,,
,Calidris minuta,Little Stint,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",LC,,
,Calidris pusilla,Semipalmated Sandpiper,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",NT,,
,Prosobonia leucoptera,Tahiti Sandpiper,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",EX,,
,Prosobonia ellisi,Moorea Sandpiper,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",EX,,
,Prosobonia cancellata,Christmas Sandpiper,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",EX,,
,Prosobonia parvirostris,Tuamotu Sandpiper,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",EN,,
,Scolopax mira,Amami Woodcock,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",VU,,
,Scolopax celebensis,Sulawesi Woodcock,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",NT,,
,Coenocorypha pusilla,Chatham Snipe,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",VU,,
,Coenocorypha iredalei,South Island Snipe,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",EX,,
,Coenocorypha huegeli,Snares Island Snipe,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",NT,,
,Coenocorypha aucklandica,Auckland Snipe,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",NT,,
,Coenocorypha barrierensis,North Island Snipe,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",EX,,
,Gallinago nigripennis,African Snipe,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",LC,,
,Tringa ochropus,Green Sandpiper,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",LC,,
,Tringa glareola,Wood Sandpiper,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",LC,,
,Tringa stagnatilis,Marsh Sandpiper,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",LC,,
,Tringa guttifer,Spotted Greenshank,"Scolopacidae (Sandpipers, Snipes, Phalaropes)",EN,,
,Turnix hottentottus,Fynbos Buttonquail,Turnicidae (Buttonquails),EN,,
,Turnix melanogaster,Black-breasted Buttonquail,Turnicidae (Buttonquails),NT,,
,Turnix novaecaledoniae,New Caledonian Buttonquail,Turnicidae (Buttonquails),CR (PE),,
,Turnix olivii,Buff-breasted Buttonquail,Turnicidae (Buttonquails),EN,,
,Turnix castanotus,Chestnut-backed Buttonquail,Turnicidae (Buttonquails),LC,,
,Glareola nordmanni,Black-winged Pratincole,"Glareolidae (Coursers, Pratincoles)",NT,,
,Anous stolidus,Brown Noddy,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Anous minutus,Black Noddy,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Anous albivittus,Grey Noddy,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Gygis alba,Common White Tern,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Gygis microrhyncha,Little White Tern,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Rynchops flavirostris,African Skimmer,"Laridae (Gulls, Terns, Skimmers)",NT,,
,Rynchops albicollis,Indian Skimmer,"Laridae (Gulls, Terns, Skimmers)",EN,,
,Saundersilarus saundersi,Saunders's Gull,"Laridae (Gulls, Terns, Skimmers)",VU,,
,Rissa brevirostris,Red-legged Kittiwake,"Laridae (Gulls, Terns, Skimmers)",VU,,
,Rissa tridactyla,Black-legged Kittiwake,"Laridae (Gulls, Terns, Skimmers)",VU,,
,Larus hartlaubii,Hartlaub's Gull,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Larus novaehollandiae,Silver Gull,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Larus bulleri,Black-billed Gull,"Laridae (Gulls, Terns, Skimmers)",NT,,
,Larus modestus,Grey Gull,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Larus fuliginosus,Lava Gull,"Laridae (Gulls, Terns, Skimmers)",VU,,
,Larus ichthyaetus,Pallas's Gull,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Larus relictus,Relict Gull,"Laridae (Gulls, Terns, Skimmers)",VU,,
,Larus leucophthalmus,White-eyed Gull,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Larus audouinii,Audouin's Gull,"Laridae (Gulls, Terns, Skimmers)",VU,,
,Larus heermanni,Heermann's Gull,"Laridae (Gulls, Terns, Skimmers)",NT,,
,Larus pacificus,Pacific Gull,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Larus argentatus,European Herring Gull,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Onychoprion aleuticus,Aleutian Tern,"Laridae (Gulls, Terns, Skimmers)",VU,,
,Onychoprion fuscatus,Sooty Tern,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Onychoprion lunatus,Grey-backed Tern,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Sternula albifrons,Little Tern,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Sternula lorata,Peruvian Tern,"Laridae (Gulls, Terns, Skimmers)",EN,,
,Sternula nereis,Fairy Tern,"Laridae (Gulls, Terns, Skimmers)",VU,,
,Sternula balaenarum,Damara Tern,"Laridae (Gulls, Terns, Skimmers)",VU,,
,Larosterna inca,Inca Tern,"Laridae (Gulls, Terns, Skimmers)",NT,,
,Chlidonias albostriatus,Black-fronted Tern,"Laridae (Gulls, Terns, Skimmers)",EN,,
,Chlidonias niger,Black Tern,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Sterna aurantia,River Tern,"Laridae (Gulls, Terns, Skimmers)",VU,,
,Sterna striata,White-fronted Tern,"Laridae (Gulls, Terns, Skimmers)",NT,,
,Sterna sumatrana,Black-naped Tern,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Sterna paradisaea,Arctic Tern,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Sterna vittata,Antarctic Tern,"Laridae (Gulls, Terns, Skimmers)",LC,,
,Sterna virgata,Kerguelen Tern,"Laridae (Gulls, Terns, Skimmers)",NT,,
,Sterna acuticauda,Black-bellied Tern,"Laridae (Gulls, Terns, Skimmers)",EN,,
,Thalasseus bernsteini,Chinese Crested Tern,"Laridae (Gulls, Terns, Skimmers)",CR,,
,Thalasseus elegans,Elegant Tern,"Laridae (Gulls, Terns, Skimmers)",NT,,
,Catharacta antarctica,Brown Skua,Stercorariidae (Skuas),LC,,
,Cerorhinca monocerata,Rhinoceros Auklet,Alcidae (Auks),LC,,
,Fratercula cirrhata,Tufted Puffin,Alcidae (Auks),LC,,
,Fratercula arctica,Atlantic Puffin,Alcidae (Auks),VU,,
,Fratercula corniculata,Horned Puffin,Alcidae (Auks),LC,,
,Ptychoramphus aleuticus,Cassin's Auklet,Alcidae (Auks),NT,,
,Aethia psittacula,Parakeet Auklet,Alcidae (Auks),LC,,
,Aethia pusilla,Least Auklet,Alcidae (Auks),LC,,
,Aethia cristatella,Crested Auklet,Alcidae (Auks),LC,,
,Brachyramphus marmoratus,Marbled Murrelet,Alcidae (Auks),EN,,
,Brachyramphus brevirostris,Kittlitz's Murrelet,Alcidae (Auks),NT,,
,Cepphus grylle,Black Guillemot,Alcidae (Auks),LC,,
,Cepphus columba,Pigeon Guillemot,Alcidae (Auks),LC,,
,Cepphus carbo,Spectacled Guillemot,Alcidae (Auks),LC,,
,Synthliboramphus antiquus,Ancient Murrelet,Alcidae (Auks),LC,,
,Synthliboramphus wumizusume,Japanese Murrelet,Alcidae (Auks),VU,,
,Synthliboramphus scrippsi,Scripps's Murrelet,Alcidae (Auks),VU,,
,Synthliboramphus hypoleucus,Guadalupe Murrelet,Alcidae (Auks),EN,,
,Synthliboramphus craveri,Craveri's Murrelet,Alcidae (Auks),VU,,
,Alca torda,Razorbill,Alcidae (Auks),NT,,
,Ninox natalis,Christmas Boobook,Strigidae (Typical Owls),VU,,
,Sceloglaux albifacies,Laughing Owl,Strigidae (Typical Owls),EX,,
,Mascarenotus grucheti,Reunion Owl,Strigidae (Typical Owls),EX,,
,Surnia ulula,Northern Hawk-owl,Strigidae (Typical Owls),LC,,
,Athene blewitti,Forest Owlet,Strigidae (Typical Owls),EN,,
,Aegolius funereus,Boreal Owl,Strigidae (Typical Owls),LC,,
,Aegolius gradyi,Bermuda Saw-whet Owl,Strigidae (Typical Owls),EX,,
,Otus pembaensis,Pemba Scops-owl,Strigidae (Typical Owls),VU,,
,Otus scops,Eurasian Scops-owl,Strigidae (Typical Owls),LC,,
,Otus capnodes,Anjouan Scops-owl,Strigidae (Typical Owls),EN,,
,Otus pauliani,Grand Comoro Scops-owl,Strigidae (Typical Owls),EN,,
,Otus moheliensis,Moheli Scops-owl,Strigidae (Typical Owls),EN,,
,Otus insularis,Seychelles Scops-owl,Strigidae (Typical Owls),EN,,
,Otus mantananensis,Mantanani Scops-owl,Strigidae (Typical Owls),NT,,
,Asio otus,Northern Long-eared Owl,Strigidae (Typical Owls),LC,,
,Asio flammeus,Short-eared Owl,Strigidae (Typical Owls),LC,,
,Asio capensis,Marsh Owl,Strigidae (Typical Owls),LC,,
,Megascops barbarus,Bearded Screech-owl,Strigidae (Typical Owls),LC,,
,Strix occidentalis,Spotted Owl,Strigidae (Typical Owls),NT,,
,Strix uralensis,Ural Owl,Strigidae (Typical Owls),LC,,
,Strix nebulosa,Great Grey Owl,Strigidae (Typical Owls),LC,,
,Gymnogyps californianus,California Condor,Cathartidae (New World vultures),CR,,
,Vultur gryphus,Andean Condor,Cathartidae (New World vultures),VU,,
,Elanus scriptus,Letter-winged Kite,"Accipitridae (Hawks, Eagles)",NT,,
,Aviceda cuculoides,African Cuckoo-hawk,"Accipitridae (Hawks, Eagles)",LC,,
,Aviceda jerdoni,Jerdon's Baza,"Accipitridae (Hawks, Eagles)",LC,,
,Gypaetus barbatus,Bearded Vulture,"Accipitridae (Hawks, Eagles)",NT,,
,Neophron percnopterus,Egyptian Vulture,"Accipitridae (Hawks, Eagles)",EN,,
,Pithecophaga jefferyi,Philippine Eagle,"Accipitridae (Hawks, Eagles)",CR,,
,Circaetus pectoralis,Black-chested Snake-eagle,"Accipitridae (Hawks, Eagles)",LC,,
,Trigonoceps occipitalis,White-headed Vulture,"Accipitridae (Hawks, Eagles)",CR,,
,Necrosyrtes monachus,Hooded Vulture,"Accipitridae (Hawks, Eagles)",CR,,
,Gyps bengalensis,White-rumped Vulture,"Accipitridae (Hawks, Eagles)",CR,,
,Gyps tenuirostris,Slender-billed Vulture,"Accipitridae (Hawks, Eagles)",CR,,
,Gyps coprotheres,Cape Vulture,"Accipitridae (Hawks, Eagles)",EN,,
,Morphnus guianensis,Crested Eagle,"Accipitridae (Hawks, Eagles)",NT,,
,Harpia harpyja,Harpy Eagle,"Accipitridae (Hawks, Eagles)",NT,,
,Nisaetus nipalensis,Mountain Hawk-eagle,"Accipitridae (Hawks, Eagles)",LC,,
,Clanga clanga,Greater Spotted Eagle,"Accipitridae (Hawks, Eagles)",VU,,
,Aquila adalberti,Spanish Imperial Eagle,"Accipitridae (Hawks, Eagles)",VU,,
,Aquila heliaca,Eastern Imperial Eagle,"Accipitridae (Hawks, Eagles)",VU,,
,Aquila chrysaetos,Golden Eagle,"Accipitridae (Hawks, Eagles)",LC,,
,Circus maillardi,Reunion Marsh-harrier,"Accipitridae (Hawks, Eagles)",EN,,
,Circus maurus,Black Harrier,"Accipitridae (Hawks, Eagles)",EN,,
,Circus cyaneus,Hen Harrier,"Accipitridae (Hawks, Eagles)",LC,,
,Accipiter luteoschistaceus,Slaty-backed Goshawk,"Accipitridae (Hawks, Eagles)",VU,,
,Accipiter imitator,Imitator Goshawk,"Accipitridae (Hawks, Eagles)",VU,,
,Haliaeetus leucoryphus,Pallas's Fish-eagle,"Accipitridae (Hawks, Eagles)",EN,,
,Buteogallus coronatus,Crowned Solitary Eagle,"Accipitridae (Hawks, Eagles)",EN,,
,Bermuteo avivorus,Bermuda Hawk,"Accipitridae (Hawks, Eagles)",EX,,
,Buteo ridgwayi,Ridgway's Hawk,"Accipitridae (Hawks, Eagles)",CR,,
,Buteo solitarius,Hawaiian Hawk,"Accipitridae (Hawks, Eagles)",NT,,
,Buteo galapagoensis,Galapagos Hawk,"Accipitridae (Hawks, Eagles)",VU,,
,Buteo regalis,Ferruginous Hawk,"Accipitridae (Hawks, Eagles)",LC,,
